id,company_id,name,group_name,unit,closing_qty,closing_value,rate,synced_at
00047532-dbb1-4175-ae1d-112f519d816c,c47da0b1-b7dd-4589-bb66-73081022c2a3,"MACHINE VICE 6"" ORCAN",ORCAN,NOS,0,0,0,2026-04-28 06:35:20.068+00
000b1e09-67b5-4203-bb67-e756e267277e,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS TAP 8 X 1.25 BOT ET,ET,NOS,0,0,214.79,2026-04-30 09:25:56.424+00
001dce1f-7184-49c2-a97c-09b72319477a,c47da0b1-b7dd-4589-bb66-73081022c2a3,"HSS-E TAP 5/16"" UNC SPPT TIN ET",ET,NOS,0,0,474.56,2026-04-30 09:25:56.424+00
001e3137-8f96-4913-8885-186ddc327154,c47da0b1-b7dd-4589-bb66-73081022c2a3,SOLID CARBIDE DREAM DRILL DH423 18 YG,YG,NOS,1,7919.86,7919.86,2026-04-30 09:25:56.424+00
001e55b8-7328-4368-8bbe-d4f17d1399a1,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS T/S EXTRA LONG DRILL 29.5 X 350 IT,IT,NOS,0,0,0,2026-04-30 09:25:56.424+00
00285416-3099-475d-9c78-cdca7ee2bbeb,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS T/S DRILL 31 TOTEM,TOTEM,NOS,2,5411.96,2705.98,2026-04-30 09:25:56.424+00
002ae1d7-5c6b-4087-a4b7-373b222dab13,c47da0b1-b7dd-4589-bb66-73081022c2a3,BEARING UCP216,OTHER,NOS,0,0,1767.26,2026-04-30 09:25:56.424+00
002dd46f-7fb4-4244-9c15-2f22e16aebd0,c47da0b1-b7dd-4589-bb66-73081022c2a3,ALLEN BOLT 6 X 30 UNBRAKO,OTHER,NOS,0,0,3.13,2026-04-30 09:25:56.424+00
002e4501-0a00-4f40-93ee-9d8e23a54c36,c47da0b1-b7dd-4589-bb66-73081022c2a3,"BIMETAL BANDSAW 5100 X 34 X 1.1 -2/3 TPI ""S"" MEBA",MEBA,NOS,0,0,0,2026-04-30 09:25:56.424+00
003160c2-9545-42b0-a0a8-9838bf2ffe47,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS DRILL 8.7 IT,IT,NOS,20,3047.4,152.37,2026-04-30 09:25:56.424+00
00337b5f-8af0-4c62-8175-df7943f8e078,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS-E TAP TB914 D376 30 X 3.5 SPFL TH YG,YG,NOS,1,5544.43,5544.43,2026-04-30 09:25:56.424+00
00339844-ec59-4e14-820d-ad598f87e713,c47da0b1-b7dd-4589-bb66-73081022c2a3,MHE 0400 G3,MOTHERSON,NOS,0,0,0,2026-04-30 09:25:56.424+00
0033a47b-1147-4b0d-9589-947ffba2608c,c47da0b1-b7dd-4589-bb66-73081022c2a3,BIMETAL BANDSAW 4100 X 34 X 1.1 8/12 TPI BASIC WIKUS,WIKUS,NOS,0,0,1516.67,2026-04-30 09:25:56.424+00
003fb7b0-2449-44b5-a149-d452ad0c769c,c47da0b1-b7dd-4589-bb66-73081022c2a3,"FLAP DISK 4"" G80 SPEED YURI",YURI,NOS,220,3690.72,16.78,2026-04-30 09:25:56.424+00
0048cb41-f31b-4290-b29d-258c52538b13,c47da0b1-b7dd-4589-bb66-73081022c2a3,VNMG 160408-ZM T9215 TUNGALOY,TUNGALOY,NOS,2,816,408,2026-04-30 09:25:56.424+00
0058b316-9d3a-4bff-92e8-1bd7adbc13f3,c47da0b1-b7dd-4589-bb66-73081022c2a3,HEX BOLT 16 X 70 MFL,MFL,NOS,132,2732.4,20.7,2026-04-30 09:25:56.424+00
00594259-463a-47b1-bedc-69c3def583df,c47da0b1-b7dd-4589-bb66-73081022c2a3,WEX 3040 E CUTTER,MOTHERSON,NOS,0,0,0,2026-04-30 09:25:56.424+00
005a2ae2-0fad-423b-bc73-621cdd80ce48,c47da0b1-b7dd-4589-bb66-73081022c2a3,HEX BOLT 6 X 50 MFL,MFL,NOS,800,1790.4,2.24,2026-04-30 09:25:56.424+00
005b4116-d8fb-432b-aa9f-ec19f6e941e5,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS DRILL .65 HITTCO,HITTCO,NOS,10,525.15,52.52,2026-04-30 09:25:56.424+00
005c188a-51ff-4252-993c-9ce27fc62018,c47da0b1-b7dd-4589-bb66-73081022c2a3,TPMT 110304 NLU T1500A,MOTHERSON,NOS,0,0,0,2026-04-30 09:25:56.424+00
0061a5ec-7b5e-4e29-8313-346d807bf3cf,c47da0b1-b7dd-4589-bb66-73081022c2a3,"HSS TAP 1-1/4"" BSW SET TOTEM",TOTEM,SET,2,18440.05,9220.03,2026-04-30 09:25:56.424+00
006558a4-837b-4aaa-b2ce-a30097a99871,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS- PMS ROLL TAP D371 6 X 1 7G O/G ET,ET,NOS,0,0,0,2026-04-30 09:25:56.424+00
0068d0dc-8f37-49d3-beca-ab3d2608c4e5,c47da0b1-b7dd-4589-bb66-73081022c2a3,XRF 25 RST FACEMILL,MOTHERSON,NOS,0,0,0,2026-04-30 09:25:56.424+00
006edb95-1c09-46d4-91a8-83d9aabd6a8b,c47da0b1-b7dd-4589-bb66-73081022c2a3,INSIZE MICROMETER 3203-100A (75-100),OTHER,NOS,0,0,0,2026-04-30 09:25:56.424+00
0074424e-b659-42a3-9b1a-01b02182aa23,c47da0b1-b7dd-4589-bb66-73081022c2a3,FLAT FILE 150 SMOOTH V3,V3,NOS,20,2626.56,131.33,2026-04-30 09:25:56.424+00
00752e16-d957-40a1-88af-ef78a3a8fad3,c47da0b1-b7dd-4589-bb66-73081022c2a3,"TAP 1/2"" BSF SET",TOTEM,SET,0,0,0,2026-04-30 09:25:56.424+00
007788e9-2f39-4f51-8df0-a42544f64702,c47da0b1-b7dd-4589-bb66-73081022c2a3,"HSS COUNTERSINK 3/8"" X 90",OTHER,NOS,0,0,237.05,2026-04-30 09:25:56.424+00
0078999f-bcc8-4998-a9ee-86c39f20f6c2,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS STI TAP 8 X 1.25 BOT ET,ET,NOS,55,26469.48,481.26,2026-04-30 09:25:56.424+00
007dd7d1-0148-47a9-9173-28842b87999b,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS DRILL 5.3 ADDISON,ADDISON,NOS,71,4467.95,62.93,2026-04-30 09:25:56.424+00
008539aa-4b30-4361-b873-c1e3b8fa2637,c47da0b1-b7dd-4589-bb66-73081022c2a3,HIGH SPEED CENTER MT-4 CNC HEAVY DUTY TURNMAX,TURNMAX,NOS,0,0,0,2026-04-28 06:35:20.068+00
008d9022-9dbb-4e2f-8220-8b7cd6fad1d0,c47da0b1-b7dd-4589-bb66-73081022c2a3,"BENCH VICE 3"" HEAVY DUTY ORCAN",ORCAN,NOS,0,0,0,2026-04-30 09:25:56.424+00
00a0f2d2-06bf-438a-92f8-d552da1d8cb9,c47da0b1-b7dd-4589-bb66-73081022c2a3,SPRING WASHER FLAT 8 mm (3 X 2) BBBB,TOTEM,NOS,26000,9664.2,0.37,2026-04-30 09:25:56.424+00
00adb885-222e-4e70-8cf6-220802d16d1b,c47da0b1-b7dd-4589-bb66-73081022c2a3,TNMG 160408 NSU AC810P,MOTHERSON,NOS,44,6600,150,2026-04-30 09:25:56.424+00
00b0dc8e-ee0b-4f8b-be1b-948c3942d533,c47da0b1-b7dd-4589-bb66-73081022c2a3,RECOIL KIT 8 X 1.25,OTHER,NOS,0,0,0,2026-04-30 09:25:56.424+00
00b50b4d-5eb7-46c3-92de-32d71802de08,c47da0b1-b7dd-4589-bb66-73081022c2a3,TAP 18 X 1.5 SET,TOTEM,SET,47,35228.85,749.55,2026-04-30 09:25:56.424+00
00c428ea-b6e7-442c-8dac-d71886966df9,c47da0b1-b7dd-4589-bb66-73081022c2a3,"TAP 3/8"" UNF SET",TOTEM,SET,0,0,241.68,2026-04-30 09:25:56.424+00
00c747e6-b405-4c34-829f-ecb54413801f,c47da0b1-b7dd-4589-bb66-73081022c2a3,"HSS TAP 1/2"" BSP BOT ET",ET,NOS,0,0,990.23,2026-04-30 09:25:56.424+00
00d1e14e-60fd-4bac-b9cd-4c4022b77b46,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS TAP 12 X 1.75 6G SPFL TIN ET,ET,NOS,0,0,727.38,2026-04-30 09:25:56.424+00
00d96d9d-15a9-4a19-bed2-bc8475653a96,c47da0b1-b7dd-4589-bb66-73081022c2a3,FILLER WIRE 3.2 SS304L (5KG) SUPER TIG SUPERON,SUPERON,PKT,0,0,1075,2026-04-30 09:25:56.424+00
00d9ca1e-6bc8-4d19-bf89-e65915efb09b,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS-E TAP 16 X 1.5 SAS5 TOTEM,TOTEM,NOS,5,7597.15,1519.43,2026-04-30 09:25:56.424+00
00dd6232-1e27-4bed-a5a4-ef1383f89936,c47da0b1-b7dd-4589-bb66-73081022c2a3,AVGT 060308 PBER-MJ AH3135 TUNGALOY,TUNGALOY,NOS,2,1192,596,2026-04-30 09:25:56.424+00
00e69484-ce9d-4ab6-a7aa-f4b964c56e69,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS EXTRA LONG DRILL 4 X 200 TOTEM,TOTEM,NOS,10,6256.8,625.68,2026-04-30 09:25:56.424+00
00e777a9-0194-4151-a63e-d2acc51d05dc,c47da0b1-b7dd-4589-bb66-73081022c2a3,"BRADMA PUNCH T020 ""B""",TOTEM,NOS,14,14,1,2026-04-30 09:25:56.424+00
00f11a8a-4743-43df-8ab3-b7d5046e7801,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS DRILL 7.4 MIRANDA,MIRANDA,NOS,117,10210.82,87.27,2026-04-30 09:25:56.424+00
00fa42ae-f24c-4bd6-b9e8-31ea1c5ac42a,c47da0b1-b7dd-4589-bb66-73081022c2a3,HEX BOLT 8 X 70 MFL,MFL,NOS,600,2732.4,4.55,2026-04-30 09:25:56.424+00
00fb410d-02e7-42b7-9ed0-7cc2f79c7e8d,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS-E ROLL TAP TQ703 6 X 1 YG,YG,NOS,0,0,0,2026-04-30 09:25:56.424+00
00fba3f0-4f1c-4c88-9dfe-63dc936e0f46,c47da0b1-b7dd-4589-bb66-73081022c2a3,FLAP WHEEL 300 X 50 G150 GNL,GNL,NOS,0,0,1631.89,2026-04-30 09:25:56.424+00
00fd2a83-1d67-4eb4-b2a0-066fdc6c7006,c47da0b1-b7dd-4589-bb66-73081022c2a3,FLAP WHEEL 150 X 25 G60 BEAR PREMIUM GNL,GNL,NOS,10,2153.29,215.33,2026-04-30 09:25:56.424+00
010019cd-b07c-48ef-9a62-10811ecad8ea,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS DRILL 8 MIRANDA GOLD,MIRANDA,NOS,109,12283.93,112.7,2026-04-30 09:25:56.424+00
011029ee-f2e5-4c54-9418-f011343957d4,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS LONG TAP 8 X 1.25 TYPE C GOLD TOTEM,TOTEM,NOS,0,0,0,2026-04-30 09:25:56.424+00
0110eb8a-f73e-4bfb-abdd-78ac82a83993,c47da0b1-b7dd-4589-bb66-73081022c2a3,HSS-E ROLL TAP D371 3.5 X .6 TIN ET,ET,NOS,59,36859.57,624.74,2026-04-30 09:25:56.424+00
0112318a-9507-403a-b53d-a08c94847398,c47da0b1-b7dd-4589-bb66-73081022c2a3,BIMETAL BANDSAW 2540 X 27 X .9 2/3 MIRANDA,MIRANDA,NOS,4,3400,850,2026-04-30 09:25:56.424+00
0112e148-2ed0-439e-b7f6-17f613e668b4,c47da0b1-b7dd-4589-bb66-73081022c2a3,SOLID CARBIDE BALL NOSE 1 X 5070 YG,YG,NOS,1,1588.65,1588.65,2026-04-30 09:25:56.424+00
011d0087-bde9-49b8-8d9b-51d2193713d7,c47da0b1-b7dd-4589-bb66-73081022c2a3,"HSS ROUND DIE 1/4"" BSW OD 1"" TOTEM",TOTEM,NOS,356,111749.71,313.9,2026-04-30 09:25:56.424+00
0121f5ac-9fc9-441b-9894-705b02a3b217,c47da0b1-b7dd-4589-bb66-73081022c2a3,LF200 G320,GNL,NOS,0,0,0,2026-04-30 09:25:56.424+00
0129ddbc-10d8-45c9-8788-83e61f3c3a1c,c47da0b1-b7dd-4589-bb66-73081022c2a3,ANTIVIBE CARPENTER HAMMER 600,OTHER,NOS,0,0,0,2026-04-30 09:25:56.424+00
